Time, Operation, Operation_name, Description
05:15:19.291,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.1:59076 grpc.peer_subject="CN=fabric-common" grpc.code=OK grpc.call_duration=46.356262ms
05:15:21.848,StoreBlock,[gossip.privdata],[mychannel] Received block [7] from buffer
05:15:21.849,Validate,[committer.txvalidator],[mychannel] Validated block [7] in 0ms
05:15:21.849,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [7] channel=mychannel
05:15:22.719,CommitLegacy,[kvledger],[mychannel] Committed block [7] with 1 transaction(s) in 870ms (state_validation=0ms block_and_pvtdata_commit=283ms state_commit=478ms) commitHash=[75960047774dd39383a1da9d633851e36a0a573bd89a33ed03ba61613969b695]
05:16:09.905,StoreBlock,[gossip.privdata],[mychannel] Received block [8] from buffer
05:16:09.906,Validate,[committer.txvalidator],[mychannel] Validated block [8] in 0ms
05:16:09.906,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [8] channel=mychannel
05:16:10.805,CommitLegacy,[kvledger],[mychannel] Committed block [8] with 1 transaction(s) in 898ms (state_validation=0ms block_and_pvtdata_commit=346ms state_commit=453ms) commitHash=[d95d9d77a14d3063a7f0ef937728f5da85300ea13997ff3914faf8d9e6aa4deb]
05:18:07.379,StoreBlock,[gossip.privdata],[mychannel] Received block [9] from buffer
05:18:07.379,Validate,[committer.txvalidator],[mychannel] Validated block [9] in 0ms
05:18:07.380,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [9] channel=mychannel
05:18:08.244,CommitLegacy,[kvledger],[mychannel] Committed block [9] with 1 transaction(s) in 864ms (state_validation=0ms block_and_pvtdata_commit=303ms state_commit=495ms) commitHash=[ac9e26049dbf2bf06367227f8eb305a5e900ad556e373b9352a0bfc6874c4540]
05:19:42.016,callChaincode,[endorser],finished chaincode: fabcar duration: 12ms channel=mychannel txID=d41d3e0a
05:19:42.016,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.1:38724 grpc.peer_subject="CN=fabric-common" grpc.code=OK grpc.call_duration=13.424122ms
05:19:44.516,StoreBlock,[gossip.privdata],[mychannel] Received block [10] from buffer
05:19:44.517,Validate,[committer.txvalidator],[mychannel] Validated block [10] in 0ms
05:19:44.517,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [10] channel=mychannel
05:19:45.356,CommitLegacy,[kvledger],[mychannel] Committed block [10] with 1 transaction(s) in 839ms (state_validation=0ms block_and_pvtdata_commit=228ms state_commit=471ms) commitHash=[03eecbee2a764e3174b34b75393ffe3ef395e3e225b6e6d3a8d98354645ce83d]
05:20:44.729,callChaincode,[endorser],finished chaincode: fabcar duration: 6ms channel=mychannel txID=b15647be
05:20:44.729,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.1:40656 grpc.peer_subject="CN=fabric-common" grpc.code=OK grpc.call_duration=7.915588ms
05:20:47.249,StoreBlock,[gossip.privdata],[mychannel] Received block [11] from buffer
05:20:47.250,Validate,[committer.txvalidator],[mychannel] Validated block [11] in 0ms
